Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
YI,"111, Inc.",6.49,$529.96M,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",5.5,$33.07M,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",24.77,$17.34M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,1.9854,$61.79M,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",19.52,$1.26B,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.3662,$45.68M,2019,Finance,Banks,https://www.nasdaq.com/symbol/bcow
FCCY,1st Constitution Bancorp (NJ),18.87,$162.8M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,44.72,$1.15B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",7.64,$858.68M,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",37.64,$2.37B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
QFIN,"360 Finance, Inc.",13.79,$1.98B,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin
JOBS,"51job, Inc.",74.65,$4.66B,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
JFK,8i Enterprises Acquisition Corp,9.91,$73.61M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfk
JFKKR,8i Enterprises Acquisition Corp,0.28,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkr
JFKKU,8i Enterprises Acquisition Corp,10.32,$51.6M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkku
JFKKW,8i Enterprises Acquisition Corp,0.198,$1.14M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkw
EGHT,8x8 Inc,23.85,$2.3B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
AAON,"AAON, Inc.",48.11,$2.51B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
ABEO,Abeona Therapeutics Inc.,4.62,$227.13M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,0.95,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,0.919,$7.39M,2014,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",256.04,$11.55B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,1.09,$183.52M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,5.46,$368.89M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",46.19,$1.88B,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,2.86,$143.18M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",34.72,$3.07B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,26,$3.74B,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad
ACAM,Acamar Partners Acquisition Corp.,9.75,$372.42M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acam
ACAMU,Acamar Partners Acquisition Corp.,10.01,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu
ACAMW,Acamar Partners Acquisition Corp.,0.75,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamw
ACST,"Acasti Pharma, Inc.",1,$78.13M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",20.28,$1.1B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx
XLRN,Acceleron Pharma Inc.,40.18,$2.12B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn
ARAY,Accuray Incorporated,3.77,$331.85M,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",2.35,$185.45M,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,18.34,$185M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
ACHV,"Achieve Life Sciences, Inc. ",2.32,$18.16M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv
ACHN,"Achillion Pharmaceuticals, Inc.",2.79,$387.04M,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",32.98,$3.65B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",4.54,$187.38M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs
ACMR,"ACM Research, Inc.",16.19,$260.53M,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,37.39,$263.59M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",7.49,$360.27M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor
ACTT,Act II Global Acquisition Corp.,9.72,$291.6M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/actt
ACTTU,Act II Global Acquisition Corp.,10.11,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttu
ACTTW,Act II Global Acquisition Corp.,0.7,$15.23M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttw
ATVI,"Activision Blizzard, Inc",45.91,$35.17B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi
ADMS,"Adamas Pharmaceuticals, Inc.",5.5,$151.43M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,1.28,$60.73M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,3.66,$383.3M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,74.63,$983.82M,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",1.62,$16.79M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,8.16,$242.52M,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots
ADIL,"Adial Pharmaceuticals, Inc",1.95,$19.93M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil
ADILW,"Adial Pharmaceuticals, Inc",0.25,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw
ADMA,ADMA Biologics Inc,3.68,$218.29M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma
ADBE,Adobe Inc.,299.33,$146.06B,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe
ADOM,"ADOMANI, Inc.",0.2993,$21.8M,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom
ADTN,"ADTRAN, Inc.",16.06,$767.81M,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",1.86,$148.88M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro
ADES,"Advanced Emissions Solutions, Inc.",12.55,$234.05M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",53.37,$2.04B,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis
AMD,"Advanced Micro Devices, Inc.",29.1,$31.47B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd
ADXS,"Advaxis, Inc.",2.24,$17.97M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs
ADVM,"Adverum Biotechnologies, Inc.",11.4,$727.1M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,22.66,$2.27M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwmc
DWSH,AdvisorShares Dorsey Wright Short ETF,25.45,$21.63M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwsh
BKCH,AdvisorShares Sabretooth ETF,27.74,$2.77M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bkch
ACT,AdvisorShares Vice ETF,24.8517,$13.05M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act
AEGN,Aegion Corp,16.69,$523.11M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",6.51,$187.8M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle
AEHR,Aehr Test Systems,1.6,$36.1M,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",0.9456,$19.27M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx
AERI,"Aerie Pharmaceuticals, Inc.",30.91,$1.42B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri
AVAV,"AeroVironment, Inc.",63.99,$1.53B,2007,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav
ARPO,"Aerpio Pharmaceuticals, Inc.",0.9397,$38.14M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arpo
AEZS,AEterna Zentaris Inc.,2.7,$43.77M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",0.348,$6.6M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd
GNMX,"Aevi Genomic Medicine, Inc.",0.197,$12.76M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnmx
AFMD,Affimed N.V.,3.41,$212.89M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd
AGBAU,AGBA Acquisition Limited,10.02,$42.18M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/agbau
AGEN,Agenus Inc.,3,$402.78M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",1.45,$63.43M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx
AGYS,"Agilysys, Inc.",22.22,$522.06M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",50.78,$2.98B,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio
AGMH,AGM Group Holdings Inc.,17.49,$580.95M,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh
AGNC,AGNC Investment Corp.,16.82,$9.02B,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,25.94,$9.05B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb
AGNCM,AGNC Investment Corp.,25.38,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncm
AGNCN,AGNC Investment Corp.,26.27,"$341,510 ",n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn
AGFS,"AgroFresh Solutions, Inc.",1.68,$86.44M,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.0141,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw
ALRN,"Aileron Therapeutics, Inc.",0.82,$21.91M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn
AIMT,"Aimmune Therapeutics, Inc.",20,$1.25B,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt
AIRT,"Air T, Inc.",19,$57.69M,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt
AIRTP,"Air T, Inc.",2.395,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airtp
AIRTW,"Air T, Inc.",0.071,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airtw
ATSG,"Air Transport Services Group, Inc",23.21,$1.38B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg
AIRG,"Airgain, Inc.",14.78,$148.71M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg
ANTE,AirNet Technology Inc.,1.56,$19.6M,n/a,Technology,Advertising,https://www.nasdaq.com/symbol/ante
AITB,"AIT Therapeutics, Inc.",5.2,$52.99M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aitb
AKAM,"Akamai Technologies, Inc.",78.55,$12.87B,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,2.14,$33.93M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx
AKCA,"Akcea Therapeutics, Inc.",24.26,$2.25B,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca
AKBA,"Akebia Therapeutics, Inc.",4.42,$520.95M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba
KERN,Akerna Corp.,27.05,$201.02M,2018,n/a,n/a,https://www.nasdaq.com/symbol/kern
KERNW,Akerna Corp.,2.66,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/kernw
AKRO,"Akero Therapeutics, Inc.",19.7,$518.01M,2019,n/a,n/a,https://www.nasdaq.com/symbol/akro
AKER,Akers Biosciences Inc.,0.5683,$7.1M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",4.78,$601.56M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",6.54,$196.57M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts
ALRM,"Alarm.com Holdings, Inc.",53.65,$2.59B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",1.7,$91.43M,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk
ALAC,Alberton Acquisition Corporation,10.12,$148.66M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alac
ALACR,Alberton Acquisition Corporation,0.2,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacr
ALACU,Alberton Acquisition Corporation,10.35,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacu
ALACW,Alberton Acquisition Corporation,0.09,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacw
ALBO,"Albireo Pharma, Inc.",31.22,$375.87M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,8.65,$111.37M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc
ALDR,"Alder BioPharmaceuticals, Inc.",11.6,$965.67M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",7.42,$203.98M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx
ALEC,"Alector, Inc.",18.2,$1.25B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alec
ALXN,"Alexion Pharmaceuticals, Inc.",132.39,$29.69B,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn
ALCO,"Alico, Inc.",29.75,$222.23M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",283.56,$22.69B,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",0.9257,$65.73M,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim
ALYA,Alithya Group inc.,2.99,$145.02M,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/alya
ALJJ,"ALJ Regional Holdings, Inc.",1.52,$57.8M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,22.59,$3.54B,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alks
ALLK,Allakos Inc.,44.24,$1.91B,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk
ABTX,"Allegiance Bancshares, Inc.",32.91,$702.35M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,135.11,$2.2B,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt
ALGR,Allegro Merger Corp.,10.05,$191.55M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algr
ALGRR,Allegro Merger Corp.,0.24,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrr
ALGRU,Allegro Merger Corp.,10.51,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algru
ALGRW,Allegro Merger Corp.,0.24,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrw
ALNA,"Allena Pharmaceuticals, Inc.",4.66,$97M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna
ARLP,"Alliance Resource Partners, L.P.",16.97,$2.18B,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp
LNT,Alliant Energy Corporation,49.96,$11.86B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/lnt
AHPI,"Allied Healthcare Products, Inc.",1.809,$7.26M,1992,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",35.4,$340.09M,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot
ALLO,"Allogene Therapeutics, Inc.",26.83,$3.26B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/allo
ALLT,Allot Ltd.,7.28,$247.79M,2006,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",11.32,$1.88B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx
ALNY,"Alnylam Pharmaceuticals, Inc.",74.37,$7.92B,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,8.66,$210.37M,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,1121.88,$778.86B,2004,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,1125.37,$781.28B,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,23.42,$22.25M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/smcp
ATEC,"Alphatec Holdings, Inc.",4.37,$204.77M,2006,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atec
ALPN,"Alpine Immune Sciences, Inc.",4.42,$82.08M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn
AMR,"Alta Mesa Resources, Inc.",0.1801,$68.6M,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amr
AMRWW,"Alta Mesa Resources, Inc.",0.0109,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amrww
AABA,Altaba Inc.,68.88,$35.78B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba
ALTR,Altair Engineering Inc.,40.1,$2.86B,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/altr
ATHE,Alterity Therapeutics Limited,1.3738,$19.71M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/athe
ALT,"Altimmune, Inc.",2.3,$30.94M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt
ASPS,Altisource Portfolio Solutions S.A.,19,$309.3M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/asps
AIMC,Altra Industrial Motion Corp.,36.24,$2.34B,2006,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aimc
ALTM,Altus Midstream Company,4,$1.3B,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/altm
AMAG,"AMAG Pharmaceuticals, Inc.",8.97,$302.89M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amag
AMAL,Amalgamated Bank,16.83,$534.72M,2018,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/amal
AMRN,Amarin Corporation plc,19.01,$6.29B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrn
AMRK,"A-Mark Precious Metals, Inc.",12.3,$86.49M,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk
AMZN,"Amazon.com, Inc.",1911.3,$940.99B,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",16.94,$771.12M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",8,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",44.45,$1.46B,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/amba
AMCX,AMC Networks Inc.,56.03,$3.18B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/amcx
AMCI,AMCI Acquisition Corp.,9.94,$274M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amci
AMCIU,AMCI Acquisition Corp.,10.17,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciu
AMCIW,AMCI Acquisition Corp.,0.29,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciw
DOX,Amdocs Limited,62.2,$8.53B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dox
AMED,Amedisys Inc,123.07,$3.94B,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/amed
AMTB,Amerant Bancorp Inc.,19.56,$845.08M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amtb
AMTBB,Amerant Bancorp Inc.,14.0581,$607.37M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amtbb
UHAL,Amerco,380.74,$7.47B,n/a,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/uhal
AMRH,"Ameri Holdings, Inc.",0.35,$17.61M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh
AMRHW,"Ameri Holdings, Inc.",0.0857,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw
ATAX,"America First Multifamily Investors, L.P.",7.13,$430.84M,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",15.2,$50.17B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
AAL,"American Airlines Group, Inc.",31.57,$14.04B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal
AETI,"American Electric Technologies, Inc.",0.6802,$6.39M,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeti
AFIN,"American Finance Trust, Inc.",10.67,$1.13B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afin
AFINP,"American Finance Trust, Inc.",25.37,$30.44M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afinp
AMNB,"American National Bankshares, Inc.",36.11,$403.28M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,112.74,$3.03B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/anat
AOBC,American Outdoor Brands Corporation,9.01,$491.57M,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aobc
APEI,"American Public Education, Inc.",28.86,$478.68M,2007,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apei
AREC,American Resources Corporation,2.82,$65.75M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/arec
AMRB,American River Bankshares,12.45,$73.3M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amrb
AMSWA,"American Software, Inc.",14.66,$456.29M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,8.59,$184.25M,1991,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,78.48,$1.32B,1986,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/amwd
CRMT,"America&#39;s Car-Mart, Inc.",85.5,$572.8M,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,37.75,$1.8B,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",63.53,$1.22B,2005,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,4.15,$72.8M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,28.9,"$606,900 ",n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrvp
ATLO,Ames National Corporation,27,$249.56M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,187.11,$114.13B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/amgn
FOLD,"Amicus Therapeutics, Inc.",12.39,$3.15B,2007,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/fold
AMKR,"Amkor Technology, Inc.",7.07,$1.69B,1998,Technology,Semiconductors,https://www.nasdaq.com/symbol/amkr
AMPH,"Amphastar Pharmaceuticals, Inc.",20.64,$971.43M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amph
